"Product","Category","Strain","Room","Inventory date","Available","Brand","Expiration date","THC","Current price","Flower equiv","Package ID","Allergens","Allocated quantity","Alternate description","Available for","Batch","Calculated THC (mg)","CBD","CBDA","CBN","Cost","Date of manufacture","Days supply","External category","External package ID","Gross weight","Harvest date","Image URL","Ingredients","Instructions","Is additive","Is available online","Is cannabis","Is coupon","Is on sale","Is POS available","Is Retired","Last audited date","Location price (Catalog)","Master category","Net weight","Online Description","Online title","Package NDC","Packaging date","Price (Catalog)","Producer","Product size","Quantity (including allocated)","SKU","Status","SubRoom name","Tags","Taxable","THC-D9","THCA","Type","Unit","Unit price (Inventory)","Vendor"
Stiiizy|2.5g Infused Preroll 5 Pack [Gelato],Infused Preroll Pack,Gelato,Display Case,2/7/2024,1,Stiiizy,8/25/2025,43.25 %,40,2.5g,565,,,,All enabled customer types,ST-40MPGEL-A1124,1081.3,0.00 %,,,20,,,,,,,https://leaflogixmedia.blob.core.windows.net/product-image/d0f6d0f7-6cd9-435e-8792-d938c40a7f0a.jpg,,,false,Yes,Yes,No,false,Yes,No,,,Preroll,,,Gelato Infused Preroll 5 Pack,,,40,,2.5G,1,STZ-2.5G-PRRLPCK-GL,,,,Yes,,,Qty,qty,40,The Kind Relief Inc DBA Flow Distribution
Project Packs|3.5g Flower [Papa Don],Packaged Flower - 3.5g,Papa Don,Display Case,6/10/2024,1,Project Packs,8/25/2025,23.10 %,45,3.5g,3033,,,,All enabled customer types,PAPA231218P,808.5,,,,17.5,,,,,,,https://leaflogixmedia.blob.core.windows.net/product-image/c2d5943b-ef56-4e8c-bddf-fe6ad9baeab5.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Papa Don Flower,,,45,,3.5G,1,PJPK-FLWR-3.5g-PPDO001,,,,YES,,,Qty,qty,45,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Green Dawg|3.5g Flower [Dawg Breath],Packaged Flower - 3.5g,Dawg Breath,Display Case,6/1/2024,1,Green Dawg Cultivators,8/25/2025,23.99 mg,45,3.5g,3246,,,,All enabled customer types,DGBH240102,24,,,,17.5,,,,,,,https://leaflogixmedia.blob.core.windows.net/product-image/541c36c9-f353-40e6-9fc2-79aec66d52d4.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Dawg Breath Flower,,,45,,3.5G,1,GDC-FLWR-3.5g-DWBR001,,,,YES,,,Qty,qty,45,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Made|3.5g Flower [Sundaze],Packaged Flower - 3.5g,Sundaze,Display Case,6/10/2024,1,Made,8/25/2025,23.76 %,45,3.5g,3823,,,,All enabled customer types,SUND240115,831.6,n.d.,,,17.5,,,,,,3/31/2024,https://leaflogixmedia.blob.core.windows.net/product-image/ad714f87-9998-4957-a1de-ed2a33ec3668.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Sundaze Flower,,,45,,3.5G,1,MADE-FLWR-3.5g-SNAE001,,,,YES,,,Qty,qty,45,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Made|3.5g Flower [Mad Honey],Packaged Flower - 3.5g,Mad Honey,Display Case,6/1/2024,1,Made,8/25/2025,22.72 %,45,3.5g,3902,,,,All enabled customer types,MADH240115,795.2,0.00 %,,,17.5,,,,,,,https://leaflogixmedia.blob.core.windows.net/product-image/72fa6638-783e-4470-b548-9e3e13da379c.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Mad Honey Flower,,,45,,3.5G,1,MADE-FLWR-3.5g-MADH001,,,,YES,,,Qty,qty,45,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Doja Pack|3.5g Flower [Zoap],Packaged Flower - 3.5g,Zoap,Display Case,5/20/2024,1,Doja Pack,8/25/2025,25.03 %,50,3.5g,3956,,,,All enabled customer types,ZOAP240115,876,<LOQ,,,22.5,,,,,,3/31/2024,https://leaflogixmedia.blob.core.windows.net/product-image/0d2143f1-3296-4f99-9023-bbad23dd826b.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Zoap Flower,,,50,,3.5G,1,DJC-FLWR-3.5g-ZOAP001,,,,YES,,,Qty,qty,55,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Made|3.5g Flower [Gelato 41],Packaged Flower - 3.5g,Gelato 41,Display Case,6/10/2024,1,Made,8/25/2025,21.81 %,45,3.5g,4613,,,,All enabled customer types,GL41240206,763.4,n.d.,,,17.5,,,,,,4/28/2024,https://leaflogixmedia.blob.core.windows.net/product-image/f05d48f6-3237-45a9-9f5c-58faa74ba7e5.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Gelato 41 Flower,,,45,,3.5G,1,MADE-FLWR-3.5g-GLT4001,,,,YES,,,Qty,qty,45,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Project Packs|14g Flower [Lemon Cherry Gelato],Packaged Flower - 14g,Lemon Cherry Gelato,Display Case,6/1/2024,1,Project Packs,8/25/2025,24.04 %,110,14g,4696,,,,All enabled customer types,LCG240115,3365.6,0.00 %,,,50,,,,,,,https://leaflogixmedia.blob.core.windows.net/product-image/c22d4465-054c-499e-a253-194c8119e7f0.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Lemon Cherry Gelato Flower,,,110,,14G,1,PJPK-FLWR-14g-LCG001,,,,YES,,,Qty,qty,110,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Doja Pack|14g Flower [Zoap],Packaged Flower - 14g,Zoap,Display Case,6/1/2024,1,Doja Pack,8/25/2025,25.03 %,115,14g,4709,,,,All enabled customer types,ZOAP240115,3503.9,<LOQ,,,50,,,,,,3/31/2024,https://leaflogixmedia.blob.core.windows.net/product-image/ed4180df-af3c-4118-9f4c-4573bba79827.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Zoap Flower,,,115,,14G,1,DJC-FLWR-14g-ZOAP001,,,,YES,,,Qty,qty,115,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
Doja Pack|14g Flower [Permanent Marker],Packaged Flower - 14g,Permanent Marker,Display Case,6/1/2024,1,Doja Pack,8/25/2025,24.63 %,115,14g,4710,,,,All enabled customer types,PMKR240115,3448.2,n.d.,,,50,,,,,,3/31/2024,https://leaflogixmedia.blob.core.windows.net/product-image/9269b0c6-7bef-46eb-acba-327549668daa.jpg,,,false,Yes,Yes,no,false,YES,No,,,Flower,,,Permanent Marker Flower,,,115,,14G,1,DJC-FLWR-14g-PRMK001,,,,YES,,,Qty,qty,115,"Sonoran Roots - The Medicine Room, LLC (Onsite Cultivation)"
